id,First_Name,Last_Name,Gender,Date_Of_Birth,Email,Citizenship,Country_Of_Birth,Language,Year_of_Arrival_USA ,Course _information,Postgraduate_or_Undergraduate ,Type_of_attendance ,Mode_of_attendance ,Course_GPA,Course_Completion_Year,Field_of_Education,Basis _for_admission ,Equity_Data ,Entrance_Score,Location_permanent_homeresidence,highest_education_prior_commencement ,Graduation
42,Henry,Dixon,Male,6/28/1985,hdixon15@networkadvertising.org,Venezuela,Venezuela,English,2007,MS in CS,PG,part_time,internal,3.6,2013,IT,SAT,Remote Region,678,Venezuela,UG,
43,Mildred,Phillips,Female,3/15/1993,mphillips16@photobucket.com,South Africa,South Africa,Mandarin,2013,MBA,UG,part_time,internal,3.96,2010,IT,GRE,Low-Income,723,South Africa,PG,
44,Sean,Mitchell,Male,10/17/1985,smitchell17@sfgate.com,Malta,Malta,German,2011,MISM,UG,part_time,internal,3.66,2008,Computer Science,GRE,Remote Region,706,Malta,UG,
45,Henry,Jordan,Male,11/21/1986,hjordan18@goo.ne.jp,China,China,French,2013,Financial Engineering,UG,part_time,multi-modal,3.33,2009,IT,SAT,Low-Income,651,China,UG,
46,Katherine,Black,Female,12/21/1993,kblack19@google.pl,Portugal,Portugal,German,2012,Global MISM,PG,part_time,multi-modal,3.21,2013,Finance,GRE,Disability,653,Portugal,UG,
47,Cheryl,Gray,Female,5/11/1990,cgray1a@oaic.gov.au,Nicaragua,Nicaragua,Mandarin,2013,MSIT,UG,part_time,multi-modal,3.59,2014,IT,GMAT,Remote Region,722,Nicaragua,UG,
48,Maria,Reid,Female,3/15/1984,mreid1b@fotki.com,Russia,Russia,French,2007,MBA,PG,part_time,external,3.63,2012,Finance,SAT,Low-Income,646,Russia,PG,
49,Roger,Simpson,Male,11/11/1987,rsimpson1c@photobucket.com,Indonesia,Indonesia,English,2012,MBA,UG,full-time,multi-modal,3.56,2010,Computer Science,GMAT,Low-Income,654,Indonesia,UG,
50,Jesse,Mendoza,Male,12/7/1991,jmendoza1d@parallels.com,Peru,Peru,French,2011,MSIT,UG,full-time,external,3.43,2015,Business,GRE,Disability,653,Peru,UG,
51,Jack,Alvarez,Male,10/22/1985,jalvarez1e@europa.eu,Mauritania,Mauritania,French,2014,MS in CS,UG,part_time,external,3.14,2010,IT,GRE,Disability,680,Mauritania,UG,
52,Nicole,Murphy,Female,7/31/1988,nmurphy1f@yelp.com,Indonesia,Indonesia,French,2009,MISM,UG,part_time,internal,3.88,2015,IT,GMAT,Remote Region,614,Indonesia,PG,
53,Clarence,Nguyen,Male,8/28/1994,cnguyen1g@canalblog.com,Indonesia,Indonesia,Mandarin,2008,MISM,PG,full-time,external,3.4,2013,Business,GMAT,Low-Income,726,Indonesia,PG,
54,Raymond,Bowman,Male,6/26/1986,rbowman1h@spiegel.de,Indonesia,Indonesia,French,2012,MISM,UG,full-time,external,3.77,2013,Marketing,GMAT,Disability,782,Indonesia,UG,
55,Scott,Sullivan,Male,4/6/1981,ssullivan1i@hexun.com,Portugal,Portugal,English,2014,MBA,PG,part_time,external,3.91,2015,Marketing,SAT,Low-Income,620,Portugal,UG,
56,Kathy,Cox,Female,10/13/1982,kcox1j@mapquest.com,China,China,French,2015,MISM,PG,full-time,external,3.08,2014,Business,GMAT,Disability,754,China,PG,
57,Barbara,Carpenter,Female,8/25/1987,bcarpenter1k@skyrock.com,Iran,Iran,Mandarin,2015,MISM,UG,part_time,multi-modal,3.84,2014,Public Policy,GMAT,Low-Income,680,Iran,UG,
58,Eric,Gray,Male,12/31/1982,egray1l@biblegateway.com,Sri Lanka,Sri Lanka,German,2009,Financial Engineering,UG,part_time,external,3.2,2015,IT,GMAT,Disability,775,Sri Lanka,PG,
59,Harry,Ward,Male,11/2/1988,hward1m@sphinn.com,Russia,Russia,Mandarin,2009,MSIT,UG,part_time,multi-modal,3.17,2009,Marketing,SAT,Low-Income,727,Russia,UG,
60,Julie,Castillo,Female,10/29/1989,jcastillo1n@soundcloud.com,Philippines,Philippines,French,2009,MSIPPM,PG,part_time,multi-modal,3.35,2009,IT,GMAT,Low-Income,632,Philippines,UG,
61,Janice,Pierce,Female,11/19/1993,jpierce1o@redcross.org,China,China,German,2009,MSIPPM,UG,full-time,multi-modal,3.27,2007,Marketing,GMAT,Low-Income,699,China,UG,
62,Irene,Jackson,Female,8/17/1990,ijackson1p@macromedia.com,Russia,Russia,German,2015,MSIT,UG,full-time,multi-modal,3.28,2010,Marketing,SAT,Disability,745,Russia,PG,
63,Albert,Reynolds,Male,4/19/1981,areynolds1q@forbes.com,Japan,Japan,German,2007,MSIT,UG,part_time,external,3.95,2015,Business,GMAT,Remote Region,671,Japan,UG,
64,Catherine,Wood,Female,3/17/1994,cwood1r@yellowpages.com,Croatia,Croatia,German,2007,Financial Engineering,UG,full-time,external,3.85,2014,IT,GMAT,Low-Income,743,Croatia,UG,
65,Louis,Fields,Male,7/11/1993,lfields1s@1und1.de,Philippines,Philippines,German,2014,MSIT,PG,part_time,multi-modal,3.55,2012,Public Policy,SAT,Disability,690,Philippines,UG,
66,Debra,Howard,Female,5/29/1981,dhoward1t@theglobeandmail.com,China,China,English,2009,Global MISM,UG,part_time,external,3.7,2011,Public Policy,GRE,Disability,703,China,PG,
67,Joyce,Stanley,Female,2/4/1991,jstanley1u@uiuc.edu,Philippines,Philippines,German,2010,MSIT,UG,full-time,internal,3.82,2012,Public Policy,SAT,Remote Region,791,Philippines,PG,
68,Joseph,Evans,Male,8/1/1990,jevans1v@springer.com,Portugal,Portugal,German,2011,MSIPPM,PG,part_time,internal,3.76,2014,Finance,GRE,Low-Income,771,Portugal,PG,
69,Paula,Garrett,Female,11/1/1987,pgarrett1w@tinyurl.com,Indonesia,Indonesia,French,2015,MBA,UG,full-time,external,3.89,2007,Computer Science,SAT,Low-Income,717,Indonesia,PG,
70,Alan,Gomez,Male,3/24/1991,agomez1x@dedecms.com,China,China,Mandarin,2009,Global MISM,UG,part_time,external,3.54,2009,IT,SAT,Low-Income,784,China,PG,
71,Carol,Hart,Female,11/29/1986,chart1y@blogtalkradio.com,Hungary,Hungary,German,2013,MBA,PG,part_time,internal,3.87,2014,Finance,SAT,Remote Region,797,Hungary,UG,
72,Raymond,Ellis,Male,2/20/1989,rellis1z@hostgator.com,Russia,Russia,Mandarin,2014,MS in CS,UG,full-time,external,3.89,2007,Finance,SAT,Disability,677,Russia,PG,
73,Harry,Jenkins,Male,3/4/1994,hjenkins20@google.de,China,China,English,2011,Financial Engineering,PG,part_time,external,3.44,2011,Business,GRE,Disability,652,China,PG,
74,Lawrence,Nelson,Male,11/16/1985,lnelson21@gmpg.org,Guatemala,Guatemala,English,2013,MBA,PG,full-time,multi-modal,3.04,2007,IT,GRE,Low-Income,623,Guatemala,PG,
75,Angela,Morrison,Female,3/15/1981,amorrison22@yandex.ru,South Africa,South Africa,English,2007,MBA,PG,full-time,internal,3.39,2008,Business,GRE,Remote Region,727,South Africa,UG,
76,Helen,Lawson,Female,7/6/1983,hlawson23@chronoengine.com,China,China,Mandarin,2014,Global MISM,PG,full-time,external,3.7,2013,Finance,GMAT,Disability,795,China,UG,
77,Gerald,Coleman,Male,2/17/1991,gcoleman24@wikipedia.org,Bangladesh,Bangladesh,Mandarin,2013,MSIPPM,UG,full-time,multi-modal,3.54,2007,Business,GRE,Low-Income,753,Bangladesh,PG,
78,Eugene,Tucker,Male,8/10/1988,etucker25@w3.org,Bosnia and Herzegovina,Bosnia and Herzegovina,English,2014,Financial Engineering,PG,part_time,internal,3.78,2011,Marketing,GMAT,Remote Region,712,Bosnia and Herzegovina,PG,
79,Laura,Lawson,Female,10/24/1985,llawson26@biblegateway.com,Ukraine,Ukraine,German,2008,MSIT,UG,full-time,multi-modal,3.08,2014,Marketing,GMAT,Low-Income,755,Ukraine,PG,
80,Julie,Wagner,Female,11/29/1989,jwagner27@house.gov,Sweden,Sweden,German,2009,MISM,PG,part_time,multi-modal,3.74,2010,Public Policy,SAT,Low-Income,662,Sweden,PG,
81,Nicole,Rice,Female,4/29/1988,nrice28@usa.gov,Russia,Russia,French,2008,MISM,PG,full-time,internal,3.96,2012,IT,SAT,Remote Region,729,Russia,PG,
82,Bruce,Smith,Male,5/17/1986,bsmith29@smh.com.au,Turkmenistan,Turkmenistan,French,2012,MSIPPM,UG,full-time,external,3.06,2011,Marketing,GMAT,Low-Income,657,Turkmenistan,UG,
83,William,Knight,Male,5/20/1986,wknight2a@indiegogo.com,France,France,Mandarin,2007,MS in CS,PG,part_time,multi-modal,3.5,2013,Marketing,SAT,Disability,774,France,PG,
84,Catherine,Castillo,Female,9/29/1991,ccastillo2b@shinystat.com,Argentina,Argentina,German,2015,MBA,PG,full-time,multi-modal,3.17,2007,IT,SAT,Remote Region,729,Argentina,UG,
85,Harry,Owens,Male,1/31/1981,howens2c@mozilla.com,United States,United States,Mandarin,2012,MISM,UG,part_time,external,3.02,2012,Marketing,GMAT,Low-Income,692,United States,PG,
86,Robin,Ruiz,Female,12/3/1993,rruiz2d@admin.ch,Indonesia,Indonesia,French,2012,MBA,UG,full-time,multi-modal,3.69,2007,Computer Science,SAT,Low-Income,749,Indonesia,UG,
87,Joyce,Berry,Female,2/19/1982,jberry2e@free.fr,Philippines,Philippines,Mandarin,2015,Global MISM,UG,full-time,multi-modal,3.25,2011,Finance,SAT,Low-Income,627,Philippines,PG,
88,Joe,Matthews,Male,9/30/1993,jmatthews2f@google.it,United States,United States,English,2010,MISM,PG,part_time,internal,3.99,2010,Business,GRE,Disability,792,United States,UG,
89,Julia,Nelson,Female,5/29/1983,jnelson2g@google.com.br,Poland,Poland,French,2014,MSIT,PG,part_time,internal,3.36,2011,IT,GMAT,Remote Region,677,Poland,PG,
90,Mark,Mccoy,Male,12/25/1986,mmccoy2h@bluehost.com,China,China,German,2012,Global MISM,PG,part_time,multi-modal,3.63,2007,Computer Science,GMAT,Low-Income,671,China,PG,
91,Susan,Phillips,Female,9/26/1988,sphillips2i@google.fr,Sweden,Sweden,French,2012,MSIT,UG,part_time,internal,3.38,2011,Business,GRE,Low-Income,748,Sweden,PG,
92,Jennifer,Stanley,Female,12/23/1984,jstanley2j@livejournal.com,Russia,Russia,French,2008,MS in CS,UG,full-time,external,3.84,2015,Computer Science,GMAT,Low-Income,694,Russia,UG,
93,Carl,Morgan,Male,6/4/1988,cmorgan2k@ning.com,Greece,Greece,French,2013,Global MISM,UG,part_time,internal,3.53,2008,Public Policy,GMAT,Low-Income,686,Greece,UG,
94,Benjamin,Wilson,Male,10/11/1989,bwilson2l@icio.us,Greece,Greece,English,2011,MSIT,UG,part_time,internal,3.05,2011,IT,GRE,Low-Income,683,Greece,UG,
95,Janet,Woods,Female,2/2/1986,jwoods2m@dedecms.com,Malaysia,Malaysia,German,2011,MS in CS,UG,full-time,multi-modal,3.95,2009,Public Policy,SAT,Remote Region,605,Malaysia,PG,
96,Alice,Cole,Female,1/5/1982,acole2n@joomla.org,Burkina Faso,Burkina Faso,French,2010,MISM,PG,full-time,external,3.71,2011,Business,SAT,Low-Income,660,Burkina Faso,UG,
97,Jason,Banks,Male,4/22/1990,jbanks2o@delicious.com,Brazil,Brazil,English,2014,MISM,UG,part_time,external,3.01,2010,Computer Science,GMAT,Low-Income,747,Brazil,UG,
98,Larry,Dean,Male,7/17/1987,ldean2p@ucoz.ru,Indonesia,Indonesia,Mandarin,2009,MSIPPM,PG,full-time,internal,3.65,2014,IT,GRE,Remote Region,685,Indonesia,PG,
99,Craig,Carr,Male,2/17/1983,ccarr2q@nature.com,Portugal,Portugal,German,2012,MSIT,PG,full-time,multi-modal,3.97,2007,Computer Science,SAT,Remote Region,734,Portugal,PG,
100,Laura,Berry,Female,2/17/1989,lberry2r@weibo.com,Indonesia,Indonesia,German,2014,Financial Engineering,PG,full-time,multi-modal,3.93,2011,IT,GMAT,Remote Region,676,Indonesia,UG,
101,Kathleen,Ryan,Female,1/23/1981,kryan2s@skype.com,United States,United States,Mandarin,2012,MSIT,UG,part_time,multi-modal,3.01,2007,Marketing,GMAT,Disability,683,United States,PG,
102,Bruce,Simpson,Male,10/22/1983,bsimpson2t@sogou.com,Colombia,Colombia,German,2009,MS in CS,UG,part_time,multi-modal,3.64,2014,Finance,GMAT,Disability,685,Colombia,PG,
103,Chris,Russell,Male,12/26/1990,crussell2u@addthis.com,Portugal,Portugal,Mandarin,2008,Global MISM,UG,part_time,external,3.85,2014,Finance,SAT,Disability,625,Portugal,UG,
104,Adam,Andrews,Male,3/31/1991,aandrews2v@tamu.edu,Kosovo,Kosovo,Mandarin,2012,MISM,UG,full-time,multi-modal,3.32,2014,Finance,SAT,Disability,798,Kosovo,UG,
105,Benjamin,Gardner,Male,3/18/1993,bgardner2w@cnn.com,Indonesia,Indonesia,German,2013,MSIT,PG,part_time,external,3.94,2014,IT,GRE,Disability,623,Indonesia,PG,
106,Stephanie,Medina,Female,4/6/1986,smedina2x@samsung.com,Indonesia,Indonesia,French,2015,Financial Engineering,PG,part_time,internal,3.88,2014,Finance,SAT,Low-Income,638,Indonesia,PG,
107,Justin,Greene,Male,8/30/1984,jgreene2y@house.gov,Ukraine,Ukraine,Mandarin,2014,MSIPPM,PG,full-time,multi-modal,3.43,2012,Finance,GRE,Low-Income,796,Ukraine,UG,
108,Debra,Russell,Female,3/15/1981,drussell2z@goodreads.com,Croatia,Croatia,Mandarin,2012,MS in CS,PG,full-time,internal,3.2,2015,Marketing,GRE,Remote Region,622,Croatia,UG,
109,Joe,Young,Male,4/15/1984,jyoung30@google.de,Slovakia,Slovakia,German,2013,Financial Engineering,UG,part_time,multi-modal,3.02,2011,Business,GMAT,Low-Income,618,Slovakia,PG,
110,Gregory,Cox,Male,12/31/1982,gcox31@usgs.gov,Mexico,Mexico,French,2015,MBA,UG,part_time,external,3.57,2009,Public Policy,SAT,Remote Region,645,Mexico,PG,
111,Diane,Mills,Female,6/7/1982,dmills32@dedecms.com,China,China,German,2007,Financial Engineering,PG,full-time,internal,3.7,2009,Computer Science,SAT,Remote Region,609,China,PG,
112,Aaron,Dunn,Male,6/16/1981,adunn33@netlog.com,Mexico,Mexico,German,2014,MBA,PG,full-time,internal,3.73,2012,Computer Science,SAT,Low-Income,751,Mexico,PG,
113,Marie,Simpson,Female,4/24/1982,msimpson34@amazon.co.uk,Russia,Russia,French,2011,Financial Engineering,PG,part_time,internal,3.19,2012,Computer Science,GRE,Low-Income,632,Russia,UG,
114,Christine,Dean,Female,12/13/1987,cdean35@weibo.com,Azerbaijan,Azerbaijan,French,2009,MISM,UG,part_time,multi-modal,3.92,2008,Public Policy,SAT,Low-Income,692,Azerbaijan,UG,
115,Daniel,Palmer,Male,8/18/1991,dpalmer36@pen.io,China,China,French,2013,Global MISM,PG,part_time,multi-modal,3.25,2013,Business,GRE,Disability,783,China,PG,
116,George,Moreno,Male,4/18/1981,gmoreno37@geocities.com,Philippines,Philippines,German,2013,MSIPPM,UG,full-time,internal,3.16,2008,Computer Science,GRE,Disability,641,Philippines,PG,
117,Scott,Cunningham,Male,4/27/1981,scunningham38@jiathis.com,Czech Republic,Czech Republic,Mandarin,2011,Global MISM,PG,part_time,multi-modal,3.3,2011,Public Policy,GMAT,Low-Income,687,Czech Republic,UG,
118,Karen,Freeman,Female,2/11/1982,kfreeman39@smugmug.com,China,China,Mandarin,2009,MSIT,PG,full-time,external,3.18,2014,Business,SAT,Disability,628,China,UG,
119,Jesse,Mason,Male,5/3/1984,jmason3a@github.com,Serbia,Serbia,English,2009,MISM,PG,part_time,internal,3.66,2007,IT,GRE,Low-Income,738,Serbia,UG,
120,Paul,Fox,Male,6/21/1992,pfox3b@joomla.org,Indonesia,Indonesia,French,2009,MSIPPM,UG,full-time,internal,3.58,2013,Public Policy,SAT,Low-Income,771,Indonesia,UG,
121,Joyce,Lawson,Female,3/15/1992,jlawson3c@discuz.net,Tunisia,Tunisia,German,2007,MSIT,UG,full-time,internal,3.97,2007,Business,SAT,Remote Region,716,Tunisia,PG,
122,Betty,White,Female,1/12/1987,bwhite3d@posterous.com,China,China,English,2009,MBA,UG,part_time,multi-modal,3.36,2010,Finance,GMAT,Disability,718,China,PG,
123,Jennifer,Hawkins,Female,12/12/1983,jhawkins3e@elegantthemes.com,Nigeria,Nigeria,Mandarin,2012,MSIT,PG,full-time,internal,3.27,2007,IT,GRE,Disability,618,Nigeria,PG,
124,Julie,Hanson,Female,4/26/1990,jhanson3f@si.edu,Russia,Russia,German,2013,MSIPPM,PG,part_time,multi-modal,3.35,2014,IT,SAT,Low-Income,779,Russia,UG,
125,Sandra,Harvey,Female,5/13/1987,sharvey3g@ca.gov,United Kingdom,United Kingdom,French,2009,MSIPPM,PG,full-time,multi-modal,3.87,2012,Public Policy,GRE,Disability,675,United Kingdom,UG,
126,Jack,Moreno,Male,10/20/1986,jmoreno3h@webeden.co.uk,Philippines,Philippines,Mandarin,2014,MSIPPM,PG,part_time,internal,3.7,2013,Public Policy,GRE,Low-Income,745,Philippines,UG,
127,Phyllis,Welch,Female,8/29/1983,pwelch3i@google.de,Mexico,Mexico,English,2012,MISM,UG,part_time,external,3,2010,Finance,GRE,Disability,682,Mexico,PG,
128,Brian,Garrett,Male,7/12/1987,bgarrett3j@discovery.com,Croatia,Croatia,English,2012,MSIT,UG,part_time,internal,3.66,2009,Finance,GMAT,Remote Region,780,Croatia,UG,
129,Donna,Perez,Female,7/14/1988,dperez3k@opera.com,China,China,Mandarin,2009,Financial Engineering,PG,part_time,internal,3.72,2012,Marketing,SAT,Remote Region,638,China,PG,
130,Catherine,Garrett,Female,3/2/1982,cgarrett3l@smh.com.au,Costa Rica,Costa Rica,English,2007,MISM,PG,part_time,internal,3.36,2013,IT,GRE,Low-Income,624,Costa Rica,PG,
131,Jeffrey,Fox,Male,6/1/1982,jfox3m@purevolume.com,Peru,Peru,English,2009,Financial Engineering,UG,full-time,external,3.24,2009,Marketing,GMAT,Disability,637,Peru,UG,
132,Mark,Foster,Male,11/13/1987,mfoster3n@eventbrite.com,Cambodia,Cambodia,Mandarin,2014,Financial Engineering,UG,part_time,multi-modal,3.35,2013,Finance,SAT,Remote Region,744,Cambodia,UG,
133,Tina,Schmidt,Female,8/23/1993,tschmidt3o@arizona.edu,China,China,French,2007,MBA,PG,part_time,external,3.43,2014,Computer Science,GMAT,Remote Region,796,China,UG,
134,Patrick,Welch,Male,6/29/1993,pwelch3p@privacy.gov.au,Slovenia,Slovenia,English,2007,Financial Engineering,UG,full-time,multi-modal,3.11,2012,Public Policy,GMAT,Disability,629,Slovenia,UG,
135,Cynthia,Gonzales,Female,5/31/1991,cgonzales3q@mayoclinic.com,Russia,Russia,German,2014,MSIT,PG,part_time,external,3.34,2010,Public Policy,GRE,Remote Region,614,Russia,PG,
136,Albert,Harper,Male,9/20/1992,aharper3r@google.cn,Indonesia,Indonesia,English,2009,Global MISM,PG,full-time,multi-modal,3.72,2008,Business,GRE,Disability,686,Indonesia,PG,
137,Brenda,Parker,Female,4/21/1986,bparker3s@aol.com,Colombia,Colombia,German,2015,MSIT,UG,full-time,internal,3.99,2009,Computer Science,GRE,Low-Income,606,Colombia,PG,
138,Paula,Gibson,Female,2/4/1988,pgibson3t@eventbrite.com,China,China,Mandarin,2013,MSIT,PG,part_time,multi-modal,3.69,2010,Public Policy,GMAT,Remote Region,620,China,PG,
